id,year,brand,trans,plate,mileage,color,price
120,2021,Toyota - Vios,MT GAS,HAC 6445,"114,630",ALUMINA JADE METALLIC,"442,000.00"
121,2021,Toyota - Wigo,AT GAS,GAT 4203,"44,441",White,"488,000.00"
122,2021,CHANGAN - ALSVIN 1.5L 5DCT,AT GAS,FAF 7181,"30,561",Silver,"431,000.00"
123,2019,Ford - Ecosport,AT GAS,VAA 8922,"53,484",Crystal White,"481,000.00"
124,2017,Ford - Ranger,MT DSL,FAB 9724,"85,118",Jet Black,"660,000.00"
125,2020,Ford - Ranger,MT DSL,C2 Q855,"49,064",ARTIC WHITE,"845,000.00"
126,2021,Ford - Ranger,AT DSL,FAI 3403,"17,595",ALUMINUM METALLIC,"967,000.00"
127,2020,Ford - Ranger,AT DSL,FAL 7460,"62,358",ABSOLUTE BLACK,"975,000.00"
128,2019,Honda - City,AT GAS,FAG 6808,"39,841",Ruby Red,"557,000.00"
129,2020,Hyundai - Accent,AT GAS,FAF 4693,"43,311",Gray,"434,000.00"
130,2021,Nissan - NAVARA,MT DSL,FAF 4962,"71,196",Galaxy Black,"712,000.00"
131,2022,Toyota - Hi-Lux 4x2,MT DSL,FAN 4686,"23,730",Silver Metalic,"1,045,000.00"
132,2019,Honda - City,AT GAS,GAQ 3403,"26,171",Gold Brown,"505,000.00"
133,2015,Hyundai - Eon,MT GAS,KCB 4619 / 100110,"99,083",Pristine Blue,"164,000.00"
134,2022,Mitsubishi - Montero Sport,MT DSL,KAF 2107,"58,490",WHITE DIAMOND,"1,030,000.00"
135,2018,Mitsubishi - Montero Sport,MT DSL,NBG 6096,"59,548",Titanium Gray,"776,000.00"
136,2022,MITSUBISHI - XPANDER,MT GAS,LAJ 5590,"27,039",Jet Black Mica,"703,000.00"
137,2015,MITSUBISHI MIRAGE G4 GLX,MT GAS,ABQ 6740,"337,116",Aurora White,"168,000.00"
138,2015,MITSUBISHI MIRAGE G4 GLX,MT GAS,ABQ 6742,"293,387",AURORA WHITE,"199,000.00"
139,2015,MITSUBISHI MIRAGE G4 GLX,MT GAS,ABQ 6780,"281,850",AURORA WHITE,"199,000.00"
140,2015,MITSUBISHI MIRAGE G4 GLX,MT GAS,ABQ 6738,"264,896",Aurora White,"224,000.00"
141,2021,Nissan - NAVARA,MT DSL,KAG 3493,"30,076",Brilliant Silver,"800,000.00"
142,2020,Nissan - NAVARA,AT DSL,LAI 5585,"61,763",Alpine White,"859,000.00"
143,2021,Nissan - Almera,MT GAS,KAG 7194,"19,184",LUNAR METALLIC GREY,"456,000.00"
144,2021,NISSAN - NP300 EL CALIBRE MT,MT DSL,GAU 6807,"62,535",Galaxy Black,"716,000.00"
145,2016,Nissan - NV350,MT DSL,060101 / OV 5919,"174,099",Brilliant Silver,"556,000.00"
146,2020,Nissan - NV350,MT DSL,KAD 5838,"243,564",Alpine White,"658,000.00"
147,2021,Suzuki - DZIRE,AT GAS,KAF 9726,"44,013",Black,"466,000.00"
148,2019,Toyota - Innova,MT DSL,GAL 2534,"101,955",Blackish Red Mica,"766,000.00"
149,2021,Toyota - Vios,MT GAS,KAG 1690,"54,439",Aluminum Jade Metallic,"464,000.00"
150,2019,Honda - City,MT GAS,MAI6640,"127,336",Modern Steel Metallic,"460,000.00"
151,2023,MORRIS GARAGES - ZS ALPHA,AT GAS,MAS 6794,"9,977",White,"702,000.00"
152,2021,MORRIS GARAGES - ZS STYLE,AT GAS,MAU 8600,"12,684",Blue,"600,000.00"
153,2021,Mitsubishi - L300 FB,MT DSL,LAJ 1335,"61,165",Polar White,"752,000.00"
154,2022,Mitsubishi - Mirage,AT GAS,LAJ 3877,"5,723",Titanium Gray Metallic,"534,000.00"
155,2023,Mitsubishi - Strada,AT DSL,KAP 7177,"13,033",Red Solid Clear,"1,063,000.00"
156,2021,MITSUBISHI - XPANDER,AT GAS,LAG 8274,"45,110",Sunrise Orange,"811,000.00"
157,2021,MORRIS GARAGES - ZS STYLE,MT GAS,LAH 8767,"46,463",Red,"501,000.00"
158,2021,MORRIS GARAGES - ZS STYLE,MT GAS,LAH 6337,"48,726",Black,"511,000.00"
159,2020,Nissan - NAVARA,MT DSL,LAI 3515,"75,694",Savanna Orange,"892,000.00"
160,2018,Nissan - Almera,AT GAS,F0 PO64,"109,357",Grey,"354,000.00"
161,2020,Nissan - Almera,MT GAS,LAI 8610,"43,139",Alpine white,"364,000.00"
162,2021,Nissan - NV350,MT DSL,LAI 1137,"49,077",Alpine White,"887,000.00"
163,2020,NISSAN - TERRA 2.5L VL 4x4 A/T,AT DSL,LAH 1898,"74,593",Briliant Silver,"1,168,000.00"
164,2020,Nissan - X-Trail,AT GAS,LAH 6334,"54,567",GUN METTALIC,"1,013,000.00"
165,2020,TOYOTA - FORTUNER 4X2 G SUV,AT DSL,GAU 1108,"85,395",Gray Metallic,"1,168,000.00"
166,2020,Toyota - Hi-Lux 4x2,MT DSL,KAD 6741,"210,320",Silver Metalic,"822,000.00"
