,brand,generic_text,year,mileage,color,plate,price,location,model,transmission,fuel,converted_mileage
0,Changan,"CS35 Plus 1.4 Luxe, A/T, Gas",2023,4T,Black/Red,NIL 5623,1012000,MOA - PASAY,CS35 Plus 1.4 Luxe,automatic,gas,4000
1,Chery,"Tiggo 7 Pro 1.5L, A/T, Gas",2022,1T,Red,NEE 5392    CS# I0 O092 (WITHOUT PLATES),959000,MOA - PASAY,Tiggo 7 Pro 1.5L,automatic,gas,1000
2,Chery,"Tiggo 7 Pro, A/T, GAS",2022,17T,Red,NGQ 3019,943000,"Gateway Bus Park, Gen. Trias, Cavite",Tiggo 7 Pro,automatic,gas,17000
3,Chevrolet,"Camaro RS V6 3.6, A/T, GAS",2019,28T (per checklist),Orange Crush,NGS 9134 (VIRTUAL PLATE),2343000,Bacolod,Camaro RS V6 3.6,automatic,gas,28000
4,Chevrolet,"Colorado High Country Storm 4x4 2.8L, A/T, DSL",2020,58T (per checklist),Orange,FAL 1300     CS# W0 E343 (WITHOUT PLATES),863000,Bacolod,Colorado High Country Storm 4x4 2.8L,automatic,dsl,58000
5,Chevrolet,"Colorado LT 4x2 2.5L, M/T, DSL",2019,6T,Switchblade Silver,FAG 1847    CS# WE5756 (WITHOUT PLATES),757000,Bacolod,Colorado LT 4x2 2.5L,manual,dsl,6000
6,Chevrolet,"Colorado LT 4x2 2.5L, M/T, DSL",2019,74T,Orange,FAE 8551,714000,"Bolilao, Iloilo",Colorado LT 4x2 2.5L,manual,dsl,74000
7,Chevrolet,"Colorado LTX 4x2 2.8, A/T, DSL",2017,120T,Mountain Blue,NCM 7809,629000,"Howmart, QC",Colorado LTX 4x2 2.8,automatic,dsl,120000
8,Chevrolet,"Colorado LTZ 4x4 2.8, A/T, DSL",2019,108T,Summit White,NCU 9367,837000,"Gateway Bus Park, Gen. Trias, Cavite",Colorado LTZ 4x4 2.8,automatic,dsl,108000
9,Chevrolet,"Colorado LTZ Pro 4x4 2.8L, A/T, DSL",2016,135T,Summit White,NCE 2156,586000,"Gateway Bus Park, Gen. Trias, Cavite",Colorado LTZ Pro 4x4 2.8L,automatic,dsl,135000
10,Chevrolet,"Colorado Trailboss 4x2 2.8, A/T, DSL",2020,36T (per checklist),Orange,FAF 2470 (CRE) /                               CS# W0 H507 (WITHOUT PLATES),794000,Bacolod,Colorado Trailboss 4x2 2.8,automatic,dsl,36000
11,Chevrolet,"Sail 1.3 LT, M/T, GAS",2018,41T (per checklist),Black Meet Kettle,NCW 2256,245000,MOA - PASAY,Sail 1.3 LT,manual,gas,41000
12,Chevrolet,"Sail 1.3 LT, M/T, GAS",2018,56T,Black Metallic,CS# WE 1726 (WITHOUT PLATES),267000,Cavite,Sail 1.3 LT,manual,gas,56000
13,Chevrolet,"Trailblazer LT 4x2 2.8, A/T, DSL",2019,88T,Satin Steel Gray,NAY 7060,757000,MOA - PASAY,Trailblazer LT 4x2 2.8,automatic,dsl,88000
14,Chevrolet,"Trailblazer LT 4x2, A/T, DSL",2018,33T (per checklist),Auburn Brown,FAD 2431,384000,Bacolod,Trailblazer LT 4x2,automatic,dsl,33000
15,Chevrolet,"Trailblazer LTX 4x2 2.8, A/T, DSL",2018,53T,Pull Me Over Red,NEA 7533,884000,MOA - PASAY,Trailblazer LTX 4x2 2.8,automatic,dsl,53000
16,Chevrolet,"Trailblazer Z71 4x4 2.8, A/T, DSL",2018,73T,Satin Steel Gray,IAA 1569,895000,MOA - PASAY,Trailblazer Z71 4x4 2.8,automatic,dsl,73000
17,Chevrolet,"Trailblazer Z71 4x4 2.8L, A/T, DSL",2019,89T,Black Meet Kettle,NDL 1834,996000,"Gateway Bus Park, Gen. Trias, Cavite",Trailblazer Z71 4x4 2.8L,automatic,dsl,89000
18,Chevrolet,"Trax LS 1.4, A/T, GAS",2017,70T,Blue Metallic,NAW 1876 (CRE)                           / CS# WD 5957 (WITHOUT PLATES),400000,"Gateway Bus Park, Gen. Trias, Cavite",Trax LS 1.4,automatic,gas,70000
19,Ford,"Ecosport 1.0 Ecoboost Titanium, A/T, Gas",2019,41T,Blue Lightning,DAL 2767,629000,MOA - PASAY,Ecosport 1.0 Ecoboost Titanium,automatic,gas,41000
20,Ford,"Ecosport 1.0 Titanium Ecoboost, A/T, GAS",2020,7T,Ruby Red,GAO 5107,746000,Cebu,Ecosport 1.0 Titanium Ecoboost,automatic,gas,7000
21,Ford,"Ecosport 1.5 Trend, A/T, GAS",2020,49T,Crystal White,NGS 7142,655000,MOA - PASAY,Ecosport 1.5 Trend,automatic,gas,49000
22,Ford,"Ecosport 5DR Titanium 1.5L, A/T, Gas",2018,37T,Mars Red,NAJ 3809,501000,"Gateway Bus Park, Gen. Trias, Cavite",Ecosport 5DR Titanium 1.5L,automatic,gas,37000
23,Ford,"Ecosport 5DR Titanium 1.5L, A/T, Gas",2018,57T,Frozen White,KAB 2669,384000,Cagayan de Oro,Ecosport 5DR Titanium 1.5L,automatic,gas,57000
24,Ford,"Ecosport 5DR Titanium 4x2 1.0L, A/T, Gas",2019,62T,Blue,NBG 8349,570000,"Gateway Bus Park, Gen. Trias, Cavite",Ecosport 5DR Titanium 4x2 1.0L,automatic,gas,62000
25,Ford,"Ecosport 5DR Trend 1.5L, A/T, Gas",2017,34T,Frozen White,ADZ 5626    (CRE)           CDZ 5626 (ACTUAL),379000,"Howmart, QC",Ecosport 5DR Trend 1.5L,automatic,gas,34000
26,Ford,"Ecosport Titanium 1.0 Ecoboost, A/T, Gas",2020,1T,Absolute Black,NGJ 2518,746000,"Howmart, QC",Ecosport Titanium 1.0 Ecoboost,automatic,gas,1000
27,Ford,"Ecosport Titanium 1.0, A/T, DSL",2019,91T,Blue Lightning,NDI 2044,586000,MOA - PASAY,Ecosport Titanium 1.0,automatic,dsl,91000
28,Ford,"Ecosport Trend 1.5, A/T, GAS",2020,31T,Absolute Black,FAL 5756,634000,Bacolod,Ecosport Trend 1.5,automatic,gas,31000
29,Ford,"Escape 1.6 SE Ecoboost, A/T, Gas",2015,79T,White,ABM 3714,373000,"Bolilao, Iloilo",Escape 1.6 SE Ecoboost,automatic,gas,79000
30,Ford,"Everest Sport 4x2 2.0L, A/T, DSL",2020,40T,Aluminum Metallic,FAJ 8557,1332000,"Bolilao, Iloilo",Everest Sport 4x2 2.0L,automatic,dsl,40000
31,Ford,"Everest Tiitanium 4x2 2.2L, A/T, DSL",2018,46T,Blue Reflex,ZAC 5483,1044000,Panabo City,Everest Tiitanium 4x2 2.2L,automatic,dsl,46000
32,Ford,"Everest Titanium + 4x2 2.2, A/T, DSL",2018,48T,Sunset Red,NBQ 5031,1007000,MOA - PASAY,Everest Titanium + 4x2 2.2,automatic,dsl,48000
33,Ford,"Everest Titanium + 4x4 3.2L, A/T, DSL",2018,58T,Sunset Red,DAJ 1060     CS# C1 H364 (WITHOUT PLATES),1188000,MOA - PASAY,Everest Titanium + 4x4 3.2L,automatic,dsl,58000
34,Ford,"Everest Titanium 4x2 2.0, A/T, DSL",2022,60T,Deep Crystal Blue,JAF 8097,1720000,Cagayan de Oro,Everest Titanium 4x2 2.0,automatic,dsl,60000
35,Ford,"Everest Titanium 4x2 2.2, A/T, DSL",2018,78T,Aluminum Metallic,GAI 6304,1002000,"Bolilao, Iloilo",Everest Titanium 4x2 2.2,automatic,dsl,78000
36,Ford,"Everest Titanium 4x4 3.2, A/T, DSL",2016,63T,Sunset Red,ACP 7763 (CRE) /                   DCP 7763 (ACTUAL),991000,"Howmart, QC",Everest Titanium 4x4 3.2,automatic,dsl,63000
37,Ford,"Everest Titanium Plus 4x2 2.2L, A/T, DSL",2018,23T,Arctic White,NBH 4916    CS# C1 K577 (WITHOUT PLATES),1151000,QC,Everest Titanium Plus 4x2 2.2L,automatic,dsl,23000
38,Ford,"Everest Titanium Premium 4x2 2.2L, A/T, DSL",2018,44T,Aluminum Metallic,ZAB 5267,1119000,Cagayan de Oro,Everest Titanium Premium 4x2 2.2L,automatic,dsl,44000
39,Ford,"Explorer V6 4x4 3.5L Sport Ecoboost, A/T, Gas",2017,90T (per checklist),White,CAG 6577,1380000,MOA - PASAY,Explorer V6 4x4 3.5L Sport Ecoboost,automatic,gas,90000
40,Ford,"Fiesta 1.5 Trend, A/T, GAS",2017,30T,Winning Blue,FAC 4260,309000,MOA - PASAY,Fiesta 1.5 Trend,automatic,gas,30000
41,Ford,"Fiesta 5DR MID 1.5L, A/T, Gas",2018,38T,Red Candy,CS# C1 P165 (WITHOUT PLATES),373000,MOA - PASAY,Fiesta 5DR MID 1.5L,automatic,gas,38000
42,Ford,"Ranger FX4 4x2 2.2L, A/T, DSL",2018,147T,Absolute Black,BAA 2440,714000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger FX4 4x2 2.2L,automatic,dsl,147000
43,Ford,"Ranger FX4 4x2 2.2L, A/T, DSL",2021,121T,True Red,DAT 8071,986000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger FX4 4x2 2.2L,automatic,dsl,121000
44,Ford,"Ranger FX4 4x2 2.2L, A/T, DSL",2022,87T,Meteor Gray,IAD 4950,1023000,MOA - PASAY,Ranger FX4 4x2 2.2L,automatic,dsl,87000
45,Ford,"Ranger FX4 4x2 2.2L, A/T, DSL - Upgraded",2017,133T,Jet Black,NAQ 7545,698000,MOA - PASAY,Ranger FX4 4x2 2.2L,automatic,dsl,133000
46,Ford,"Ranger FX4 4x2 2.2L, M/T, DSL",2018,104T (per checklist),Cool White,KAB 8078,639000,Cagayan de Oro,Ranger FX4 4x2 2.2L,manual,dsl,104000
47,Ford,"Ranger Raptor 4x4 2.0, A/T, DSL",2019,27T,Arctic White,DAL 1486,1257000,"Howmart, QC",Ranger Raptor 4x4 2.0,automatic,dsl,27000
48,Ford,"Ranger Raptor 4x4 2.0, A/T, DSL",2019,52T,Absolute Black,DAN 2648,1193000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger Raptor 4x4 2.0,automatic,dsl,52000
49,Ford,"Ranger Raptor 4x4 2.0, A/T, DSL",2020,38T,Conquer Gray,NDM 1222,1577000,MOA - PASAY,Ranger Raptor 4x4 2.0,automatic,dsl,38000
50,Ford,"Ranger Raptor 4x4 2.0, A/T, DSL",2022,46T,Conquer Grey,NFJ 2396,1683000,MOA - PASAY,Ranger Raptor 4x4 2.0,automatic,dsl,46000
51,Ford,"Ranger Raptor 4x4 2.0L, A/T, DSL",2019,24T,Arctic White,FAE 9782,1417000,"Bolilao, Iloilo",Ranger Raptor 4x4 2.0L,automatic,dsl,24000
52,Ford,"Ranger Raptor 4x4 2.0L, A/T, DSL",2019,102T,True Red,LAF 2298,1385000,Panabo City,Ranger Raptor 4x4 2.0L,automatic,dsl,102000
53,Ford,"Ranger Raptor 4x4 2.0L, A/T, DSL",2020,64T (per checklist),Conquer Gray,GAN 1399,1518000,Bacolod,Ranger Raptor 4x4 2.0L,automatic,dsl,64000
54,Ford,"Ranger Raptor 4x4 2.0L, A/T, DSL",2020,42T,Absolute Black,NGK 4186,1513000,"Howmart, QC",Ranger Raptor 4x4 2.0L,automatic,dsl,42000
55,Ford,"Ranger Raptor 4x4 2.0L, A/T, DSL",2020,57T,Absolute Black,FAL 6996,1539000,Bacolod,Ranger Raptor 4x4 2.0L,automatic,dsl,57000
56,Ford,"Ranger Raptor 4x4 2.0L, A/T, DSL",2020,67T,Absolute Black,LAI 4124,1518000,Panabo City,Ranger Raptor 4x4 2.0L,automatic,dsl,67000
57,Ford,"Ranger Wildtrak 4x2 2.0, M/T, DSL",2019,24T (per checklist),Absolute Black,NDK 5923,906000,"Howmart, QC",Ranger Wildtrak 4x2 2.0,manual,dsl,24000
58,Ford,"Ranger Wildtrak 4x2 2.0, M/T, DSL",2019,47T,Meteor Gray,DAJ 9266,863000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger Wildtrak 4x2 2.0,manual,dsl,47000
59,Ford,"Ranger Wildtrak 4x2 2.0, M/T, DSL",2019,51T,Aluminum Metallic,NBH 2956,826000,"Bolilao, Iloilo",Ranger Wildtrak 4x2 2.0,manual,dsl,51000
60,Ford,"Ranger Wildtrak 4x2 2.0L, M/T, DSL",2019,65T,Absolute Black,FAN 4168,821000,"Bolilao, Iloilo",Ranger Wildtrak 4x2 2.0L,manual,dsl,65000
61,Ford,"Ranger Wildtrak 4x2 2.2, M/T, DSL",2018,35T,Pride Orange,NCV 7887,783000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger Wildtrak 4x2 2.2,manual,dsl,35000
62,Ford,"Ranger Wildtrak 4x2 2.2L, A/T, DSL",2018,74T,Pride Orange,DAH 7413,821000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger Wildtrak 4x2 2.2L,automatic,dsl,74000
63,Ford,"Ranger Wildtrak 4x4 2.0, A/T, DSL",2020,11T,Meteor Gray,NEJ 7401 (CRE) /                          NGJ 3153 (ACTUAL),1172000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger Wildtrak 4x4 2.0,automatic,dsl,11000
64,Ford,"Ranger Wildtrak 4x4 2.0, A/T, DSL",2020,27T,Aluminum Metallic,NEG 7042,1050000,MOA - PASAY,Ranger Wildtrak 4x4 2.0,automatic,dsl,27000
65,Ford,"Ranger Wildtrak 4x4 2.0L, A/T, DSL",2020,36T,Saber,NGG 3418,1145000,MOA - PASAY,Ranger Wildtrak 4x4 2.0L,automatic,dsl,36000
66,Ford,"Ranger Wildtrak 4x4 2.2, A/T, DSL",2018,61T,Pride Orange,NAI 6243,884000,"Howmart, QC",Ranger Wildtrak 4x4 2.2,automatic,dsl,61000
67,Ford,"Ranger Wildtrak Bi-Turbo 4x4 2.0, A/T, DSL",2020,121T,Aluminum Metallic,KAD 8667,991000,Cagayan de Oro,Ranger Wildtrak Bi-Turbo 4x4 2.0,automatic,dsl,121000
68,Ford,"Ranger Wildtrak DBL 4x4 2.2L, M/T, DSL",2016,115T,Black Mica,ACX 2038   (CRE)            YCX 2038 (ACTUAL),639000,"Howmart, QC",Ranger Wildtrak DBL 4x4 2.2L,manual,dsl,115000
69,Ford,"Ranger XLS 4x2 2.2, M/T, DSL",2020,86T,Arctic White,NGF 2403,735000,MOA - PASAY,Ranger XLS 4x2 2.2,manual,dsl,86000
70,Ford,"Ranger XLS 4x2 2.2L, M/T, DSL",2022,30T,Absolute Black,IAE 1764,959000,"Gateway Bus Park, Gen. Trias, Cavite",Ranger XLS 4x2 2.2L,manual,dsl,30000
71,Ford,"Ranger XLT 4x2 2.2, A/T, DSL",2020,26T,Arctic White,FAG 5330 (CRE)                                       / CS# C2 Q452 (WITHOUT PLATES),884000,"Bolilao, Iloilo",Ranger XLT 4x2 2.2,automatic,dsl,26000
72,Ford,"Ranger XLT 4x2 2.2, M/T, DSL",2016,99T (per checklist),Cool White,KDO 6923,522000,Cagayan de Oro,Ranger XLT 4x2 2.2,manual,dsl,99000
73,Ford,"Ranger XLT 4x2 2.2L, A/T, DSL",2018,78T,Cool White,CS# C1 I909 (WITHOUT PLATES),719000,"Bolilao, Iloilo",Ranger XLT 4x2 2.2L,automatic,dsl,78000
74,Ford,"Ranger XLT 4x2 2.2L, A/T, DSL",2022,77T,Arctic White,NEQ 2328,1076000,"Howmart, QC",Ranger XLT 4x2 2.2L,automatic,dsl,77000
75,Ford,"Ranger XLT 4x2 2.2L, M/T, DSL",2015,237T (per checklist),Cool White,ANA 5729,410000,Cagayan de Oro,Ranger XLT 4x2 2.2L,manual,dsl,237000
76,Ford,"Ranger XLT 4x2 2.2L, M/T, DSL",2016,170T,Aluminum Metallic,ADI 8404      (CRE)            CDI 8404  (ACTUAL),533000,MOA - PASAY,Ranger XLT 4x2 2.2L,manual,dsl,170000
77,Ford,"Territory 1.5L Ecoboost Titanium+ CVT, A/T, DSL",2022,11T,Ruby Red,NEQ 1496,959000,MOA - PASAY,Territory 1.5L Ecoboost Titanium+ CVT,automatic,dsl,11000
78,Ford,"Territory Ecoboost Trend 1.5, A/T, GAS",2021,41T,Star White,NGK 6821,863000,MOA - PASAY,Territory Ecoboost Trend 1.5,automatic,gas,41000
79,Foton,"Gratour Mini Van 1.2L, M/T, Gas",2018,57T (per checklist),White,FAD 5922,134000,"Bolilao, Iloilo",Gratour Mini Van 1.2L,manual,gas,57000
80,Foton,"Gratour TM MPV Single AC 1.5L, M/T, Gas",2019,52T,White,NEH 4994,315000,"Howmart, QC",Gratour TM MPV Single AC 1.5L,manual,gas,52000
81,Foton,"Gratour TM, M/T, GAS",2019,23T,White,MAL 6580,325000,Panabo City,Gratour TM,manual,gas,23000
82,Foton,"Tornado 2E E4 2.8L, M/T, DSL",2019,54T,White,CAY 7078    CS# I0 F112 (WITHOUT PLATES),565000,"Howmart, QC",Tornado 2E E4 2.8L,manual,dsl,54000
83,Foton,"Tornado 4.4C Stake w/ Canopy, M/T, DSL",2019,81T,White,NEF 1002,480000,"Gateway Bus Park, Gen. Trias, Cavite",Tornado 4.4C Stake w/ Canopy,manual,dsl,81000
84,Foton,"Tornado C 4.4 6WH, M/T, DSL",2019,26T (per checklist),White,JAC 8647,426000,Cagayan de Oro,Tornado C 4.4 6WH,manual,dsl,26000
85,Geely,"Coolray Sport SE 1.5, A/T, GAS",2022,11T,Red,NIE 7015,948000,MOA - PASAY,Coolray Sport SE 1.5,automatic,gas,11000
86,Geely,"Coolray SX11 GF 1.5, A/T, GAS",2020,46T,Red,NFX 9685,746000,"Taguig, Fort Victoria",Coolray SX11 GF 1.5,automatic,gas,46000
87,Geely,"Emgrand Premium 1.5L, A/T, Gas",2022,20T,Grey,FAJ 3778,703000,"Bolilao, Iloilo",Emgrand Premium 1.5L,automatic,gas,20000
88,Geely,"Okavango Urvan Plus 1.5L, A/T, Gas",2022,12T,Grey,NFJ 8708,1172000,"Howmart, QC",Okavango Urvan Plus 1.5L,automatic,gas,12000
89,Honda,"BR-V 1.5 S CVT, A/T, GAS",2020,20T,Modern Steel Metallic,NFW 9733 (CRE) /                         CS# E2 A339 (WITHOUT PLATES),735000,"Taguig, Fort Victoria",BR-V 1.5 S CVT,automatic,gas,20000
90,Honda,"BR-V 1.5 V NAVI CVT, A/T, GAS",2020,44T,Platinum White Pearl,FAG 7229,773000,Bacolod,BR-V 1.5 V NAVI CVT,automatic,gas,44000
91,Honda,"Brio 1.2 S, M/T, GAS",2019,5T (per checklist),Modern Steel Metallic,JAD 6941,395000,Cagayan de Oro,Brio 1.2 S,manual,gas,5000
92,Honda,"Brio 1.2 S, M/T, GAS",2019,14T,Modern Steel Metallic,NDM 3820,490000,"Howmart, QC",Brio 1.2 S,manual,gas,14000
93,Honda,"City 1.5 E CVT, A/T, GAS",2018,36T (per checklist),Taffeta White,CS# E0 G243 (WITHOUT PLATES),512000,"Howmart, QC",City 1.5 E CVT,automatic,gas,36000
94,Honda,"City 1.5 E CVT, A/T, GAS",2019,61T,Taffeta White,CS# E1 I003 (WITHOUT PLATES),565000,"Howmart, QC",City 1.5 E CVT,automatic,gas,61000
95,Honda,"City 1.5 E, M/T, GAS",2019,25T,Crystal Black Pearl,NBO 4616,533000,MOA - PASAY,City 1.5 E,manual,gas,25000
96,Honda,"City 1.5 VX CVT, A/T, GAS",2016,27T,Crystal Black,AEB 2992 (VIRTUAL PLATE),490000,"Gateway Bus Park, Gen. Trias, Cavite",City 1.5 VX CVT,automatic,gas,27000
97,Honda,"Civic 1.5 RS Turbo CVT, A.T, Gas",2018,10T,White Orchid Pearl,NDN 3915    CS# E1 Q945 (WITHOUT PLATES),980000,"Howmart, QC",Civic 1.5 RS Turbo CVT,automatic,gas,10000
98,Honda,"Dream, A/T, GAS",1999,Defective Odometer,Red,LL2012,4000,BDONB San Isidro,Dream,automatic,gas,0
99,Honda,"Jazz 1.5 VX CVT, A/T, GAS",2016,48T,Modern Steel,AEC 7017 (CRE) /                      GEC 7017 (ACTUAL),576000,Cebu,Jazz 1.5 VX CVT,automatic,gas,48000
100,Honda,"XL 125, M/T, GAS",2001,Defective Odometer,Black,LS6814,4000,BDONB Bayugan,XL 125,manual,gas,0
101,Honda,"XRM 110, A/T, GAS",2002,Defective Odometer,Red,MH2451,5000,BDONB Iligan,XRM 110,automatic,gas,0
102,Honda,"XRM 110, A/T, GAS",2003,Defective Odometer,Red,YB5998,5000,BDONB San Isidro,XRM 110,automatic,gas,0
103,Honda,"XRM 110, A/T, GAS",2004,Defective Odometer,Blue,KP2921,5000,BDONB Bayugan,XRM 110,automatic,gas,0
104,Hyundai,"Accent 1.4 GL, A/T, Gas",2021,31T,Silver,CAW 3851,448000,MOA - PASAY,Accent 1.4 GL,automatic,gas,31000
105,Hyundai,"Accent 1.6 GL CRDI, A/T, DSL",2020,66T,Sleek Silver,FAL 4390 (WITHOUT PLATES),490000,Bacolod,Accent 1.6 GL CRDI,automatic,dsl,66000
106,Hyundai,"Elantra 1.6 GL, M/T, GAS",2018,29T,Fiery Red,GAJ 1126,320000,Bacolod,Elantra 1.6 GL,manual,gas,29000
107,Hyundai,"Grand Starex 2.5 GL 2 Str, M/T, DSL",2017,156T,Creamy White,NAM 4394,480000,MOA - PASAY,Grand Starex 2.5 GL 2 Str,manual,dsl,156000
108,Hyundai,"Grand Starex GL TCI 2.5, M/T, DSL",2018,129T,Hyper Metallic,NAZ 5064,618000,"Gateway Bus Park, Gen. Trias, Cavite",Grand Starex GL TCI 2.5,manual,dsl,129000
109,Hyundai,"H-100 2.5 CRDI GL dual AC, M/T, DSL",2019,69T,Creamy White,NEJ 2358,554000,"Howmart, QC",H-100 2.5 CRDI GL dual AC,manual,dsl,69000
110,Hyundai,"H-100 2.5 CRDI GL Shuttle Body with dual AC, M/T, DSL",2020,25T,Creamy White,NFW 3990,629000,"Gateway Bus Park, Gen. Trias, Cavite",H-100 2.5 CRDI GL Shuttle Body with dual AC,manual,dsl,25000
111,Hyundai,"H-100 2.5 CRDI GL Shuttle Body with dual AC, M/T, DSL",2020,52T,Creamy White,NEU 8746,576000,"Howmart, QC",H-100 2.5 CRDI GL Shuttle Body with dual AC,manual,dsl,52000
112,Hyundai,"H-100 2.5 CRDI GL Shuttle Body with dual AC, M/T, DSL (For Hire)",2020,98T,Creamy White,NGF 1997,517000,"Gateway Bus Park, Gen. Trias, Cavite",H-100 2.5 CRDI GL Shuttle Body with dual AC,manual,dsl,98000
113,Hyundai,"H-100 2.5 CRDI GL Shuttle w/ Dual A/C, M/T, DSL",2020,11T (per checklist),Creamy White,NGD 9522,661000,"Taguig, Fort Victoria",H-100 2.5 CRDI GL Shuttle w/ Dual A/C,manual,dsl,11000
114,Hyundai,"H-100 2.5 CRDI GL Shuttle w/ Dual A/C, M/T, DSL",2020,30T,Creamy White,NFW 8547 (VIRTUAL PLATES),629000,"Gateway Bus Park, Gen. Trias, Cavite",H-100 2.5 CRDI GL Shuttle w/ Dual A/C,manual,dsl,30000
115,Hyundai,"H-100 2.5 CRDI GL Shuttle w/ Dual A/C, M/T, DSL (For Hire)",2019,36T,Creamy White,CAS 6656,501000,"Howmart, QC",H-100 2.5 CRDI GL Shuttle w/ Dual A/C,manual,dsl,36000
116,Hyundai,"H-100 2.5 CRDI GL with Dual A/C, M/T, DSL",2019,209T,Creamy White,NBD 1068,426000,MOA - PASAY,H-100 2.5 CRDI GL with Dual A/C,manual,dsl,209000
117,Hyundai,"H-100 2.5 CRDI GL with dual AC, M/T, DSL",2020,75T,Creamy White,NGD 4739,613000,MOA - PASAY,H-100 2.5 CRDI GL with dual AC,manual,dsl,75000
118,Hyundai,"H-100 2.5 GL CRDI Shuttle Body with dual AC, M/T, DSL",2019,51T,Creamy White,NED 8012,565000,"Gateway Bus Park, Gen. Trias, Cavite",H-100 2.5 GL CRDI Shuttle Body with dual AC,manual,dsl,51000
119,Hyundai,"H-100 2.5 GL CRDI Shuttle Body with dual AC, M/T, DSL",2019,138T,Creamy White,NBO 2409,506000,"Gateway Bus Park, Gen. Trias, Cavite",H-100 2.5 GL CRDI Shuttle Body with dual AC,manual,dsl,138000
120,Hyundai,"H-100 2.6 GL Shuttle Body with dual AC, M/T, DSL",2016,72T,Creamy White,NDZ 3164 (VIRTUAL PLATES),395000,"Gateway Bus Park, Gen. Trias, Cavite",H-100 2.6 GL Shuttle Body with dual AC,manual,dsl,72000
121,Hyundai,"H-100 2.6 GL Shuttle Body with dual AC, M/T, DSL",2016,92T,Creamy White,ADM 8157 (OR/CR)        FDM 8157 (ACTUAL),357000,"Howmart, QC",H-100 2.6 GL Shuttle Body with dual AC,manual,dsl,92000
122,Hyundai,"H-100 CRDI GL Dual A/C 2.5, M/T, DSL",2020,256T (per checklist),Creamy White,NDM 2566,426000,"Gateway Bus Park, Gen. Trias, Cavite",H-100 CRDI GL Dual A/C 2.5,manual,dsl,256000
123,Hyundai,"H-100 GL Aluminum Van with Front A/C, M/T, DSL",2019,41T,Creamy White,NDK 3734,639000,"Howmart, QC",H-100 GL Aluminum Van with Front A/C,manual,dsl,41000
124,Hyundai,"H-100 Panoramic 2.6L with dual AC, M/T, DSL",2015,63T,Creamy White,ABG 5997,480000,"Taguig, Fort Victoria",H-100 Panoramic 2.6L with dual AC,manual,dsl,63000
125,Hyundai,"H350 2.5L DLX 14 Str, M/T, DSL",2018,45T,Blue,NBQ 1895,1598000,QC,H350 2.5L DLX 14 Str,manual,dsl,45000
126,Hyundai,"H350 DLX 2.5L, M/T, DSL",2018,46T,Blue,NEB 5829,1635000,"Howmart, QC",H350 DLX 2.5L,manual,dsl,46000
127,Hyundai,"Kona 2.0 GLS, A/T, Gas",2019,100T,Red,CS# K0 T478 (WITHOUT PLATES),480000,"Bolilao, Iloilo",Kona 2.0 GLS,automatic,gas,100000
128,Hyundai,"Kona 2.0 GLS, A/T, Gas",2020,29T,Green (OR & actual)        Acid Yellow (PN/CHM),CS# K1 N202 (WITHOUT PLATES),602000,"Gateway Bus Park, Gen. Trias, Cavite",Kona 2.0 GLS,automatic,gas,29000
129,Hyundai,"Kona 2.0 GLS, A/T, GAS",2020,73T,Green (CRE)                / Acid Yellow (PNCHM),NEC 2267,565000,MOA - PASAY,Kona 2.0 GLS,automatic,gas,73000
130,Hyundai,"Reina 1.4 GL, A/T, Gas",2020,71T,Red,GAN 7718,304000,Cebu,Reina 1.4 GL,automatic,gas,71000
131,Hyundai,"Reina 1.4 GL, M/T GAS",2020,11T (per checklist),Glowing Silver,NGD 7538 (CRE) /                      CS# K1 R417 (WITHOUT PLATES),352000,"Gateway Bus Park, Gen. Trias, Cavite",Reina 1.4 GL,manual,,11000
132,Hyundai,"Reina 1.4 GL, M/T, DSL",2020,17T,Blue Passion,ZAB 7714,347000,Cagayan de Oro,Reina 1.4 GL,manual,dsl,17000
133,Hyundai,"Reina 1.4 GL, M/T, GAS",2020,53T,Midnight Black,ZAB 4677,224000,Panabo City,Reina 1.4 GL,manual,gas,53000
134,Hyundai,"Santa Fe 2.2 CRDI GLS, A/T, DSL",2019,36T,Phantom Black,NDK 3723,1278000,"Gateway Bus Park, Gen. Trias, Cavite",Santa Fe 2.2 CRDI GLS,automatic,dsl,36000
135,Hyundai,"Tucson 2.0 GL 2WD, A/T, GAS",2018,70T (per checklist),White,ZAA 7663,602000,Cagayan de Oro,Tucson 2.0 GL 2WD,automatic,gas,70000
136,Hyundai,"Tucson 2.0 GL 2WD, A/T, Gas",2018,37T,Black,NFW 9557,671000,"Gateway Bus Park, Gen. Trias, Cavite",Tucson 2.0 GL 2WD,automatic,gas,37000
137,Hyundai,"Tucson 2.0 GL 2WD, M/T, GAS",2019,48T,Phantom Black,ZAB 9457,629000,Cagayan de Oro,Tucson 2.0 GL 2WD,manual,gas,48000
138,Isuzu,"D-max Flexiqube Single Cab 2.5L, M/T, DSL",2016,33T,White,FAA 7715,485000,Bacolod,D-max Flexiqube Single Cab 2.5L,manual,dsl,33000
