,brand,generic_text,year,mileage,color,plate,price,location,model,transmission,fuel,converted_mileage
202,Mitsubishi,"L300 FB Exceed 2.5L with dual AC, M/T, DSL",2018,103T,Polar White,NAY 3291,464000,"Howmart, QC",L300 FB Exceed 2.5L with dual AC,manual,dsl,103000
203,Mitsubishi,"L300 FB Exceed dual AC 2.5L, M/T, DSL",2017,179T,Polar White,ACP 8378   (CRE)                DCP 8378 (ACTUAL),363000,MOA - PASAY,L300 FB Exceed dual AC 2.5L,manual,dsl,179000
204,Mitsubishi,"Mirage G4 GLS, A/T, GAS",2016,136T (per checklist),Medium Blue Mica,NDU 4823,213000,"Howmart, QC",Mirage G4 GLS,automatic,gas,136000
205,Mitsubishi,"Mirage G4 GLS, A/T, GAS",2019,13T (per checklist),Sundance Orange,FAE 9761,411000,Bacolod,Mirage G4 GLS,automatic,gas,13000
206,Mitsubishi,"Mirage G4 GLX 1.2L, M/T, Gas",2019,6T,Cool Silver,CS# B6 N524 (WITHOUT PLATES),336000,"Howmart, QC",Mirage G4 GLX 1.2L,manual,gas,6000
207,Mitsubishi,"Mirage G4 GLX, A/T, GAS",2020,43T,Pyrenese Black,CS# B7 X437 (WITHOUT PLATES),352000,MOA - PASAY,Mirage G4 GLX,automatic,gas,43000
208,Mitsubishi,"Mirage GLS, A/T, GAS",2017,39T,Savanna White,CS# B0 K808 (WITHOUT PLATES),389000,Binangonan Rizal,Mirage GLS,automatic,gas,39000
209,Mitsubishi,"Mirage GLX 1.2L, A/T, Gas",2019,7T,Virgil Gray,FAL 7686     CS# B5 R160 (WITHOUT PLATES),384000,Bacolod,Mirage GLX 1.2L,automatic,gas,7000
210,Mitsubishi,"Mirage GLX CVT, A/T, GAS",2023,46T,Titanium Gray Metallic,FAN 7880 (CRE) /                          CS# Y0 O476 (WITHOUT PLATES),576000,Bacolod,Mirage GLX CVT,automatic,gas,46000
211,Mitsubishi,"Mirage GLX, A/T, GAS",2023,1T,Titanium Gray Metallic,NIJ 4204,613000,MOA - PASAY,Mirage GLX,automatic,gas,1000
212,Mitsubishi,"Mirage GLX, M/T, GAS",2018,10T,Wine Red Pearl,FAG 2759,256000,"Bolilao, Iloilo",Mirage GLX,manual,gas,10000
213,Mitsubishi,"Montero Sport GLS 2WD 2.4, A/T, DSL",2018,116T,Titanium Gray,NEI 8330,970000,MOA - PASAY,Montero Sport GLS 2WD 2.4,automatic,dsl,116000
214,Mitsubishi,"Montero Sport GLS 2WD 2.4, A/T, DSL",2019,32T,Pearl White,CAS 3357,1028000,"Howmart, QC",Montero Sport GLS 2WD 2.4,automatic,dsl,32000
215,Mitsubishi,"Montero Sport GLS 4x2 2.4L, A/T, DSL",2018,45T,Titanium Gray,CAQ 2427,1012000,"Gateway Bus Park, Gen. Trias, Cavite",Montero Sport GLS 4x2 2.4L,automatic,dsl,45000
216,Mitsubishi,"Montero Sport GLS 4x4 2.4L, M/T, DSL",2016,116T,Savanna White,FAD 6617,852000,Bacolod,Montero Sport GLS 4x4 2.4L,manual,dsl,116000
217,Mitsubishi,"Montero Sport GLS Premium 4x2 2.4, A/T, DSL",2018,113T,Pearl White,GAJ 2872,970000,Bacolod,Montero Sport GLS Premium 4x2 2.4,automatic,dsl,113000
218,Mitsubishi,"Montero Sport GLX 2.4 2WD, M/T, DSL",2018,40T (per checklist),Matte Black (actual) / Medium Red (OR/PNCHM),EAB 5395,794000,MOA - PASAY,Montero Sport GLX 2.4 2WD,manual,dsl,40000
219,Mitsubishi,"Montero Sport GLX 2.4 2WD, M/T, DSL",2023,13T,Jet Black Mica,MAS 1555,1300000,Panabo City,Montero Sport GLX 2.4 2WD,manual,dsl,13000
220,Mitsubishi,"Montero Sport GLX 2WD 2.4, M/T, DSL",2021,31T,Sterling Silver Metallic,CAW 1496,1119000,Bacolod,Montero Sport GLX 2WD 2.4,manual,dsl,31000
221,Mitsubishi,"Montero Sport GLX 2WD 2.4, M/T, DSL",2022,17T (per checklist),White Diamond,KAF 2677,1193000,Cagayan de Oro,Montero Sport GLX 2WD 2.4,manual,dsl,17000
222,Mitsubishi,"Montero Sport GLX-V 4x2 2.5, M/T, DSL",2012,143T,Savanna White,UCI 725 (CRE),389000,"Howmart, QC",Montero Sport GLX-V 4x2 2.5,manual,dsl,143000
223,Mitsubishi,"Montero Sport GT 4WD 2.4, A/T, DSL",2018,82T,Sterling Silver Metallic,NCS 8805,1236000,"Howmart, QC",Montero Sport GT 4WD 2.4,automatic,dsl,82000
224,Mitsubishi,"Montero Sport GT 4x2 2.4L, A/T, DSL",2021,40T (per checklist),Graphite Gray Metallic,LAH 7204,1619000,Cagayan de Oro,Montero Sport GT 4x2 2.4L,automatic,dsl,40000
225,Mitsubishi,"Montero Sport GT 4x4 2.4L, A/T, DSL",2018,71T,Sedona Red,CS# B2 F502 (WITHOUT PLATES),1241000,"Gateway Bus Park, Gen. Trias, Cavite",Montero Sport GT 4x4 2.4L,automatic,dsl,71000
226,Mitsubishi,"Montero Sport GTV 4x4 2.5L, A/T, DSL",2014,100T,Savanna White,WITHOUT PLATES / CONDUCTION STICKER,671000,QC,Montero Sport GTV 4x4 2.5L,automatic,dsl,100000
227,Mitsubishi,"Strada Athlete 4x2, A/T, DSL",2020,111T,Graphite Gray Metalic,FAL 6325,773000,Bacolod,Strada Athlete 4x2,automatic,dsl,111000
228,Mitsubishi,"Strada GLS 2.4 2WD, A/T, DSL",2020,64T,Graphite Gray Metallic,DBA 6427,852000,MOA - PASAY,Strada GLS 2.4 2WD,automatic,dsl,64000
229,Mitsubishi,"Strada GLS 2.4 2WD, M/T, DSL",2020,32T,Jet Black Mica,IAC 8379,783000,"Howmart, QC",Strada GLS 2.4 2WD,manual,dsl,32000
230,Mitsubishi,"Strada GLS 2WD 2.4, A/T, DSL",2020,8T,Jet Black Mica,NFV 8793 (CRE) /                    CS# B7 K064 (WITHOUT PLATES),895000,"Gateway Bus Park, Gen. Trias, Cavite",Strada GLS 2WD 2.4,automatic,dsl,8000
231,Mitsubishi,"Strada GLS 2WD 2.4, A/T, DSL",2020,42T,White Diamond,CS# B6 H467 (WITHOUT PLATES),906000,MOA - PASAY,Strada GLS 2WD 2.4,automatic,dsl,42000
232,Mitsubishi,"Strada GLS 2WD 2.4, A/T, DSL",2021,54T,Jet Black Mica,HAC 1991 (CRE) /                        CS# B9 C738 (WITHOUT PLATES),980000,MOA - PASAY,Strada GLS 2WD 2.4,automatic,dsl,54000
233,Mitsubishi,"Strada GLX 4x2 2.5L, M/T, DSL",2018,40T,Titanium Gray,ZAB 9396,671000,Cagayan de Oro,Strada GLX 4x2 2.5L,manual,dsl,40000
234,Mitsubishi,"Xpander GLS Sport 1.5L, A/T, Gas",2019,40T,Red Metallic,NFV 6282     CS# B7 F219 (WITHOUT PLATES),746000,"Howmart, QC",Xpander GLS Sport 1.5L,automatic,gas,40000
235,Mitsubishi,"Xpander GLS, A/T, GAS",2021,57T,Red Metallic,NFQ 3632,842000,MOA - PASAY,Xpander GLS,automatic,gas,57000
236,Mitsubishi,"Xpander GLX Plus, A/T, GAS",2019,49T,Sterling Silver Metallic,NFT 6284,629000,"Bolilao, Iloilo",Xpander GLX Plus,automatic,gas,49000
237,Mitsubishi,"Xpander GLX, M/T, GAS",2020,45T,Jet Black Mica,DAU 2897,618000,MOA - PASAY,Xpander GLX,manual,gas,45000
238,Nissan,"Almera 1.5 E, A/T, GAS",2019,19T,Titanium Gray,NEA 4647,384000,"Howmart, QC",Almera 1.5 E,automatic,gas,19000
