Unnamed: 0,YEARMODEL,BRAND/MAK,SERIES,PLATE NO.,TRANSMISSION,FUEL,COLOR,ODOMETER,SELLING PRICE
78,2023,MITSUBISHI,MIRAGE G4 GLX 1.2G CVT,Y3M104,AUTOMATIC,GAS,TITANIUM GRAY,"2,800","5 28,000.00"
79,2017,MITSUBISHI,MIRAGE G4 GLX 1.2L,B2G069,AUTOMATIC,GAS,MAJESTIC RED,"53,212","3 43,000.00"
80,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L,NIL2345,AUTOMATIC,GAS,RED METALLIC,"5,652","5 28,000.00"
81,2023,MITSUBISHI,MIRAGE G4 GLX 1.2L,Y3J571,AUTOMATIC,GAS,TITANIUM GRAY METALLIC,"1,655","5 31,000.00"
82,2024,MITSUBISHI,MIRAGE G4 GLX CVT,Y40168,AUTOMATIC,GAS,SILVER,"38,626","6 07,000.00"
83,2023,MITSUBISHI,MIRAGE GLX 1.2L,Y1S265,AUTOMATIC,GAS,TITANIUM GRAY METALLIC,"46,726","5 35,000.00"
84,2017,MITSUBISHI,MIRAGE HATCHBACK CVT,NAW7086,AUTOMATIC,GAS,GRAY,"89,824","2 62,000.00"
85,2023,MITSUBISHI,STRADA GLS 2.4L 4X2,NII4151,AUTOMATIC,DIESEL,RED SOLID CLEAR,"33,107","1,017,000.00"
86,2023,MORRIS GARAGES,GARAGES GT 1.5L,W2D718,AUTOMATIC,GAS,GRAY,"3,674","6 60,000.00"
87,2022,MORRISGARAGES,MGS5 STYLE 1.5L,NHB6338,AUTOMATIC,GAS,BLACK,"21,277","5 49,000.00"
88,2020,NISSAN,ALMERA BASE MODEL,NFW4931,MANUAL,GAS,TITANIUM GREY,"71,336","2 37,000.00"
89,2022,NISSAN,ALMERA VE 1.0,NIC6995,AUTOMATIC,GAS,CAYENNE RED,"37,762","6 49,000.00"
90,2021,NISSAN,NAVARA 2.5L PRO-4X,NGN9212,AUTOMATIC,DIESEL,ASPEN PEARL WHITE,"51,258","1,189,000.00"
91,2017,NISSAN,NV350 URVAN 15 STR,NDD5007,MANUAL,DIESEL,BRILLIANT SILVER,"171,967.00","4 99,000.00"
92,2021,NISSAN,NV350 URVAN 2.5L,NFX8592,MANUAL,DIESEL,GUN METALLIC,"109,455","9 17,000.00"
93,2019,SUZUKI,DZIRE 1.2L GL,NBH9197,AUTOMATIC,GAS,BLACK,-,"2 34,000.00"
94,2023,SUZUKI,S-PRESSO 1.0L GL,NIF4094,MANUAL,GAS,ORANGE,"15,665","4 67,000.00"
95,2023,SUZUKI,SPRESSO GL,DAS3769,MANUAL,GAS,FIRE RED,-,"3 90,000.00"
96,2020,TOYOTA,AVANZA 1.3E,DAZ7522,AUTOMATIC,GAS,DARK BLUE SIZE,"118,773","5 66,000.00"
97,2020,TOYOTA,COROLLA ALTIS 1.6V CVT,DAT2233,AUTOMATIC,GAS,RED MICA METALLIC,NA,"6 25,000.00"
98,2023,TOYOTA,VIOS 1.3 XLE CVT,DAS8220,AUTOMATIC,GAS,SILVER METALLIC,"27,400","6 18,000.00"
99,2023,TOYOTA,VIOS 1.3 XLE CVT,EAG4236,AUTOMATIC,GAS,BLACK,"12,665","6 03,000.00"
