Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1043,MARCELO GREEN,2019,FORD RANGER 2.0L 4X4 AT WILDTRAK,NBD1854,C1V335,COOL WHITE,"112,696","757,500.00"
1044,ENTRATA,2019,FORD RANGER 2.0L WILDTRAK 4X4 AT,DAK1365,C2A325,COOL WHITE,"75,915","1,046,000.00"
1045,AXIS TOWER,2018,FORD RANGER 2.2L 4X4 WILDTRAK MT,,C1O259,METEOR GRAY,"55,280","608,250.00"
1046,SANFORD,2018,FORD RANGER 2.2L WILDTRAK 4X2 MT W/ NAVI,NAZ1194,C1S130,METEOR GRAY,"104,603","527,250.00"
1047,PROMENADE,2019,FORD RANGER 2.2L XLS 4X2 AT,NDK6478,C2D435,ARCTIC WHITE,"85,099","558,750.00"
1048,MARCELO GREEN,2019,FORD RANGER 2.2L XLS 4X2 MT,NBH3643,C2A469,ALUMINIUM METALLIC,"148,438","532,950.00"
1049,STA. MARIA,2019,FORD RANGER 2.2L XLT 4X2 AT,NDK6087,C2G227,SUNSET RED,"34,801","707,200.00"
1050,STA. MARIA,2020,FORD RANGER 2.2L XLT 4X2 AT,NEJ7344,C2P880,ARCTIC WHITE,"103,858","849,000.00"
1051,AXIS TOWER,2015,FORD RANGER 2.2L XLT 4X2 MT,ABG3967,II5822,BLACK MICA,"17,780","460,700.00"
1052,AXIS TOWER,2020,FORD RANGER 2.2L XLT 4X2 MT,NGD3088,C2Q515,ALUMINUM METALLIC,"67,597","830,000.00"
1053,STA. MARIA,2015,FORD RANGER 3.2L WILDTRACK 4X4 MT,ABO2144,II8721,COOL WHITE,unavailable,"443,200.00"
"",,,FORD RANGER DBL HI RIDER WILDTRACK 4X4 2.2L,,,,,
1054,THE SIGNATURE,2017,,NAD3905,IN9489,JET BLACK,"110,386","683,400.00"
"",,,A,,,,,
"",,,FORD RANGER DOUBLE HI RIDER 2.2L 4X2 XLS,,,,,
1055,ENTRATA,2018,,NCW2322,C1L739,ALUMINUM METAL,"59,731","617,100.00"
"",,,M/T,,,,,
1056,MARCELO GREEN,2020,FORD RANGER DOUBLE HI RIDER 4X2 2.2L XLT AT,NFZ5049,C2S789,METEOR GRAY,"46,328","894,000.00"
"",,,FORD RANGER DOUBLE HI RIDER WILDTRAK 3.2L,,,,,
1057,AXIS TOWER,2018,,NBM6062,C0Z680,COOL WHITE,"111,235","863,100.00"
"",,,4X4,,,,,
