Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1181,PROMENADE,2023,MITSUBISHI L300 C/C 2.2D W/ FB BODY,NIL6631,Y2F289,WHITE,"10,170","787,550.00"
1182,ENTRATA,2022,MITSUBISHI L300 C/C MT W/ FB BODY,NIC5746,Y0J802,POLAR WHITE,"42,093","658,800.00"
"",,,MITSUBISHI L300 C/C WITH FB BODY WITH DUAL,,,,,
1183,AXIS TOWER,2023,,,Y2W021,POLAR WHITE,"12,275","719,950.00"
"",,,AC,,,,,
1184,MARCELO GREEN,2023,MITSUBISHI L300 C/C WITH FB BODY WITH DUAL AI,NIL6688,Y2F401,POLAR WHITE,"7,297","676,000.00"
"",,,MITSUBISHI L300 C/C WITH FB BODY WITH DUAL,,,,,
1185,MARCELO GREEN,2024,,,Y3S609,POLAR WHITE,"8,258","805,600.00"
"",,,AIRCON,,,,,
"",,,MITSUBISHI L300 CAB CHASSIS EXCEED W/ FB,,,,,
1186,MARCELO GREEN,2023,,,Y2O775,POLAR WHITE,"14,363","678,400.00"
"",,,BODY,,,,,
1187,ENTRATA,2023,MITSUBISHI L300 CC LONG FB VAN BODY 2.2L DSL,DBG7199,Y1S158,POLAR WHITE,"14,938","575,400.00"
1188,AXIS TOWER,2022,MITSUBISHI L300 CC W/ FB AND DUAL AIRCON MT,DAS9624,Y0J511,POLAR WHITE,"11,159","675,000.00"
"",,,MITSUBISHI L300 EXCEED C/C 2.5D MT W/ FB,,,,,
1189,AXIS TOWER,2017,,,B1Y508,POLAR WHITE,"32,634","311,950.00"
"",,,BODY,,,,,
"",,,MITSUBISHI L300 EXCEED C/C 2.5D MT W/ FB,,,,,
1190,MARCELO GREEN,2017,,NBZ3355,B0C560,POLAR WHITE,"52,428","306,000.00"
"",,,BODY,,,,,
1191,MARCELO GREEN,2018,MITSUBISHI L300 EXCEED C/C 2.5D MT W/FB BODY,NCT2990,B2R736,POLAR WHITE,"58,360","349,350.00"
1192,MARCELO GREEN,2023,MITSUBISHI L300 FB  BODY DUAL AIRCON,EAF5157,Y1K203,POLAR WHITE,"46,771","749,550.00"
"",,,MITSUBISHI L300 FB BODY DELUXE 2.5 DSL MT,,,,,
1193,AXIS TOWER,2017,,CAE4440,NR8000,WHITE,"136,481","363,000.00"
"",,,DUA,,,,,
1194,ENTRATA,2023,MITSUBISHI L300 FB BODY DUAL AC MT,NHC7519,Y1S040,POLAR WHITE,"26,924","734,400.00"
"",,,MITSUBISHI L300 FB BODY EXCEED 2.2 DSL 2WD,,,,,
1195,MARCELO GREEN,2022,,CBE6406,Y0L313,POLAR WHITE,"14,645","592,000.00"
"",,,MT,,,,,
1196,SANFORD,2023,MITSUBISHI L300 FB BODY MT DSL,NIG6910,Y0Q744,POLAR WHITE,"6,123","712,300.00"
1197,ENTRATA,2023,MITSUBISHI L300 FB C/C 2.2D MT W/ FB BODY,NIG4058,Y1K081,POLAR WHITE,"19,504","755,100.00"
1198,MARCELO GREEN,2023,MITSUBISHI L300 FB C/C 2.2D MT W/ FB BODY,NIG1377,Y1L388,POLAR WHITE,"29,903","609,750.00"
1199,THE SIGNATURE,2023,MITSUBISHI L300 FB C/C 2.2D MT W/ FB BODY,NFB2521,Y2O328,POLAR WHITE,"41,330","606,000.00"
1200,AXIS TOWER,2022,MITSUBISHI L300 FB C/C 2.2D MT W/FB BODY,NFO2627,Y0L039,POLAR WHITE,"41,918","551,250.00"
"",,,MITSUBISHI L300 FB CAB CHASSIS DELUXE W/FB,,,,,
1201,AXIS TOWER,2017,,GAW8785,B1A299,POLAR WHITE,"55,975","241,600.00"
"",,,BO,,,,,
1202,PROMENADE,2015,MITSUBISHI L300 FB DE LUXE W/ FRONT A/C,ABQ7935,NI6626,POLAR WHITE,"180,849","240,000.00"
1203,AXIS TOWER,2023,MITSUBISHI L300 FB EXCEE W/ DUAL A/C,NIJ1181,Y1T805,POLAR WHITE,"18,078","759,600.00"
1204,MARCELO GREEN,2017,MITSUBISHI L300 FB EXCEED DUAL AC,EAB4329,B2H326,POLAR WHITE,"162,346","275,400.00"
1205,MARCELO GREEN,2023,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,NCF5667,Y2W331,POLAR WHITE,"10,884","795,150.00"
1206,MARCELO GREEN,2023,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,NIJ1999,Y1T740,WHITE,"16,127","800,850.00"
1207,MARCELO GREEN,2023,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,,Y3L242,POLAR WHITE,"1,875","802,750.00"
1208,MARCELO GREEN,2023,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,NHL2121,Y2W616,POLAR WHITE,"11,597","733,500.00"
1209,PROMENADE,2023,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,NIN3751,Y2F812,POLAR WHITE,812,"719,950.00"
1210,PROMENADE,2023,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,NII2818,Y1T660,POLAR WHITE,"34,600","574,000.00"
1211,SANFORD,2023,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,NIN1693,Y21286,POLAR WHITE,"43,150","567,200.00"
1212,STA. MARIA,2022,MITSUBISHI L300 FB EXCEED W/ DUAL A/C,NIF2468,Y0N128,POLAR WHITE,"51,518","560,800.00"
1213,AXIS TOWER,2023,MITSUBISHI L300 FB EXCEED W/ DUAL AC,NII8093,Y1T795,POLAR WHITE,"69,360","659,600.00"
1214,ENTRATA,2020,MITSUBISHI L300 FB EXCEED W/ DUAL AC,NGS1945,B6K390,POLAR WHITE,"20,493","495,550.00"
1215,PROMENADE,2023,MITSUBISHI L300 FB EXCEED W/DUAL A/C,,Y2O894,WHITE,"9,957","763,200.00"
1216,MARCELO GREEN,2022,MITSUBISHI L300 FB MT DSL,,B9T412,PEARL WHITE,"10,478","750,000.00"
1217,AXIS TOWER,2023,MITSUBISHI L300 FB VAN BODY 2.2L DSL MT 4X2 W,DBH3381,Y2K039,POLAR WHITE,"23,388","703,800.00"
1218,ENTRATA,2023,MITSUBISHI L300 FB VAN BODY 2.2L DSL MT 4X2 W,,Y1-G662,POLAR WHITE,"24,263","785,650.00"
"",,,MITSUBISHI L300 FB W/ DUAL AIRCON DELUXE,,,,,
1219,AXIS TOWER,2016,,NDX3569,NM3544,POLAR WHITE,"68,214","297,900.00"
"",,,EURO 2,,,,,
"",,,MITSUBISHI L300 FB W/ DUAL AIRCON EXCEED,,,,,
1220,MARCELO GREEN,2023,,NIM4454,Y2O817,POLAR WHITE,"9,759","806,550.00"
"",,,EURO,,,,,
"",,,MITSUBISHI L300 FB W/ DUAL AIRCON EXCEED,,,,,
1221,MARCELO GREEN,2015,,ABR5254,NH9189,POLAR WHITE,"186,950","198,750.00"
"",,,EURO 2,,,,,
1222,ENTRATA,2015,MITSUBISHI L300 FB WIDUAL AC EXCEED 2.5D MT,NBW9354,NH9953,POLAR WHITE,"108,556","225,250.00"
1223,THE SIGNATURE,2020,MITSUBISHI L300 UTILITY VEHICLE EXCEE,CAS8837,B6K243,POLAR WHITE,"110,602","359,800.00"
1224,ENTRATA,2022,MITSUBISHI L300 WITH FB BODY DUAL AIRCON,EAF4484,Y0N895,POLAR WHITE,"7,325","631,550.00"
1225,SANFORD,2013,MITSUBISHI LANCER EX GLX MT GAS,WSQ571,BW1589,WHITE,unavailable,"132,000.00"
1226,PROMENADE,2015,MITSUBISHI LANCER EX GTA 2.0L AT GAS,NDY2875,,SILVER,"44,337","390,400.00"
1227,MARCELO GREEN,2016,MITSUBISHI MIRAGE  GLX 1.2G CVT,NBU1695,NR9062,MAJESTIC RED,"57,078","230,000.00"
1228,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLS 1.2G CVT,DAS9708,Y1K183,WHITE SOLID,"20,085","590,750.00"
"",,,,,,COOL SILVER,,
1229,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLS 1.2G CVT,,Y4K706,,"1,126","637,500.00"
"",,,,,,METALLIC,,
1230,MARCELO GREEN,2019,MITSUBISHI MIRAGE G4 GLS 1.2G CVT,NDP5190,B4X715,WHITE,"27,237","401,000.00"
"",,,,,,COOL SILVER,,
1231,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G  MT,,Y3E026,,"1,067","524,450.00"
"",,,,,,METALLIC,,
1232,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIF9940,Y1K716,RED METALLIC,"17,334","586,800.00"
1233,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2Q624,RED METALLIC,"7,041","567,900.00"
"",,,,,,TITANIUM GRAY,,
1234,AXIS TOWER,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3U315,,"27,266","602,100.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1235,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2Q610,,"15,703","590,400.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1236,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,DBG5010,Y0Q052,,"22,021","584,100.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1237,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3M658,,"11,983","590,400.00"
"",,,,,,METALLIC,,
1238,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFP5999,Y1H684,TITANIUM GRAY M,"46,643","558,900.00"
1239,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2E249,TITANIUM GRAY M,"19,773","583,200.00"
1240,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2V471,RED METALLIC,"7,936","590,400.00"
1241,AXIS TOWER,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFJ3239,B9R523,RED METALLIC,"12,444","463,200.00"
"",,,,,,COOL SILVER,,
1242,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y1L705,,"11,462","520,000.00"
"",,,,,,METALLIC,,
1243,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFP3469,Y1H038,COOL SILVER,"35,541","506,400.00"
1244,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIP1693,Y2K725,RED METALLIC,"8,004","492,000.00"
"",,,,,,TITANIUM GRAY,,
1245,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,DBG6139,Y1J261,,"4,144","492,000.00"
"",,,,,,METALLIC,,
1246,AXIS TOWER,2018,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NBP8237,B3W361,GRAY,"58,380","312,550.00"
"",,,,,,TITANIUM GRAY,,
1247,AXIS TOWER,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3X575,,"3,672","661,200.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1248,AXIS TOWER,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NGY9711,B9O848,,"81,239","442,000.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1249,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3M716,,"4,553","557,600.00"
"",,,,,,METALLIC,,
1250,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,DBG7409,Y2B650,RED METALLIC,"29,736","543,150.00"
"",,,,,,COOL SILVER,,
1251,AXIS TOWER,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NGX5617,B9Q365,,"13,017","488,750.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1252,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2F130,,"21,082","454,300.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1253,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2Y031,,"1,790","593,100.00"
"",,,,,,METALLIC,,
1254,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3M613,RED,"12,330","593,100.00"
1255,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3J641,RED METALLIC,"12,742","593,100.00"
"",,,,,,COOL SILVER,,
1256,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y1K805,,"10,527","593,100.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1257,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIH8792,Y1S383,,"3,485","593,100.00"
"",,,,,,METALLIC,,
1258,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,CBE8429,Y1C035,RED METALLIC,"7,179","593,100.00"
"",,,,,,TITANIUM GRAY,,
1259,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2E317,,584,"593,100.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1260,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIL9952,Y2J539,,"9,068","593,100.00"
"",,,,,,METALLIC,,
1261,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,DBG7404,Y2B645,RED,"17,880","626,050.00"
1262,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIR3377,,RED METALLIC,"2,122","625,100.00"
1263,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIL4105,Y2K244,RED METALIC,"8,858","494,250.00"
1264,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3F181,RED METALLIC,"6,490","494,250.00"
"",,,,,,COOL SILVER,,
1265,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIM4999,Y3J898,,"4,517","653,000.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1266,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,CBK7719,Y1H198,,"8,718","560,150.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1267,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIJ8425,Y2E792,,"5,262","527,200.00"
"",,,,,,METALLIC,,
1268,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3F132,METALLIC RED,"14,237","659,000.00"
1269,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2E322,RED METALLIC,"16,530","488,250.00"
1270,ENTRATA,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3T772,RED,"2,126","523,500.00"
1271,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE1099,Y1H797,SILVER,"29,972","609,900.00"
1272,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NBF9576,Y3N360,TITANIUM GRAY M,"8,225","610,850.00"
1273,ENTRATA,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y4O262,RED METALLIC,"3,321","662,150.00"
"",,,,,,TITANIUM GRAY,,
1274,ENTRATA,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y4O400,,"2,268","662,150.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1275,ENTRATA,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIB1115,B9R679,,"13,846","487,050.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1276,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,EAG1901,Y2E473,,"13,678","457,800.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1277,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,EAG1549,Y20267,,"9,664","594,000.00"
"",,,,,,METALLIC,,
1278,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIH3712,Y1K408,RED METALLIC,"5,822","587,700.00"
1279,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2X245,RED METALLIC,"16,293","627,000.00"
1280,ENTRATA,2019,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFU6293,B6G274,MAJESTIC RED,"45,609","320,400.00"
1281,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y1U795,RED METALLIC,"4,063","495,000.00"
1282,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2X887,SILVER METALLIC,"6,911","493,500.00"
1283,ENTRATA,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NER7238,B9G577,RED METALLIC,"5,858","493,000.00"
1284,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2B473,RED METALLIC,"1,331","586,800.00"
"",,,,,,COOL SILVER,,
1285,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFB6634,Y2V547,,"17,870","583,200.00"
"",,,,,,METALLIC,,
1286,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIJ4452,Y1U805,RED METALLIC,"4,539","522,400.00"
1287,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2V681,RED METALLIC,"7,385","519,200.00"
1288,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2Q223,RED METALLIC,"1,047","517,600.00"
"",,,,,,TITANIUM GRAY,,
1289,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3N507,,"9,090","489,750.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1290,MARCELO GREEN,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFK1012,B9Q084,,"39,450","418,500.00"
"",,,,,,METALLIC,,
1291,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3I533,COOL SILVER,"14,675","611,800.00"
"",,,,,,COOL SILVER,,
1292,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIH4783,Y0Q042,,"55,901","560,500.00"
"",,,,,,METALLIC,,
1293,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE6572,Y2D764,RED METALLIC,"14,469","622,250.00"
"",,,,,,TITANIUM GRAY,,
1294,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NGQ9779,Y1H739,,"29,308","532,100.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1295,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFB2253,Y2Q278,,"1,492","553,350.00"
"",,,,,,METALLIC,,
1296,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIL1286,Y1I646,RED METALLIC,"14,304","558,450.00"
"",,,,,,COOL SILVER,,
1297,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFA2985,Y2I788,,"11,846","555,050.00"
"",,,,,,METALLIC,,
1298,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3X282,RED,"3,545","589,050.00"
"",,,,,,TITANIUM GRAY,,
1299,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE7966,Y2C584,,"4,624","544,850.00"
"",,,,,,METALLIC,,
1300,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3U157,GRAY METALLIC,"4,560","507,500.00"
"",,,,,,TITANIUM GRAY,,
1301,MARCELO GREEN,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFK4999,B9R597,,"31,273","401,100.00"
"",,,,,,METALLLIC,,
"",,,,,,TITANIUM GRAY,,
1302,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIS5905,Y3M176,,"10,583","589,500.00"
"",,,,,,METALLIC,,
1303,MARCELO GREEN,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NES7548,B9H427,RED METALLIC,"36,838","536,000.00"
1304,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3T100,RED METALLIC,"5,739","689,000.00"
"",,,,,,TITANIUM GRAY,,
1305,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3X364,,"7,349","664,050.00"
"",,,,,,METALLIC,,
1306,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NGC7447,Y2E814,RED METALLIC,"24,883","649,000.00"
"",,,,,,TITANIUM GRAY,,
1307,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIH7264,Y1U654,,"31,812","624,000.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1308,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIF8445,,,"23,607","626,000.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1309,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIF7581,Y1L107,,"29,357","618,000.00"
"",,,,,,METALLIC,,
1310,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3U029,RED,"3,605","722,000.00"
"",,,,,,COOL SILVER,,
1311,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3U472,,"2,652","722,000.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM JGRAY,,
1312,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,DBG5009,Y0Q145,,"26,324","580,500.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1313,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2X782,,"10,913","516,800.00"
"",,,,,,METALLIC,,
1314,PROMENADE,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3Y707,RED METALLIC,966,"572,800.00"
"",,,,,,COOL SILVER,,
1315,PROMENADE,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,B9R552,,"20,374","461,600.00"
"",,,,,,METALLIC,,
1316,PROMENADE,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,EAI8785,Y3T791,COOL SIVER MET,"5,359","686,850.00"
1317,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,CBE7495,Y1I557,RED METALLIC,"21,994","456,400.00"
1318,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE1357,Y1I426,TITANIUM GRAY M,"23,479","449,400.00"
"",,,,,,COOL SILVER,,
1319,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIL9334,Y2F001,,299,"626,050.00"
"",,,,,,METALLIC,,
1320,PROMENADE,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NER9469,B9Q382,COOL SILVER MET,"26,670","511,200.00"
1321,STA. MARIA,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3T192,RED METALLIC,218,"654,300.00"
"",,,,,,COOL SILVER,,
1322,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE7480,Y1U227,,"36,259","551,700.00"
"",,,,,,METALLIC,,
1323,STA. MARIA,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIP5118,Y3T068,GRAY,"5,720","612,000.04"
"",,,,,,COOL SILVER,,
1324,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIJ4330,Y2D743,,"7,685","519,200.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1325,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y1J405,,"12,263","488,250.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1326,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE4281,Y1U479,,"18,893","468,000.00"
"",,,,,,METALLIC,,
1327,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3N293,RED METALLIC,"17,954","539,750.02"
1328,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIH3451,Y1U655,TITANIUM GRAY,"16,341","539,750.00"
1329,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y2F157,RED METALLIC,"1,206","587,700.00"
"",,,,,,TITANIUM GRAY,,
1330,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,,Y3M888,,"2,091","525,600.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1331,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE8332,Y1T298,,"12,855","517,600.00"
"",,,,,,METALLIC,,
1332,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NFA2970,Y2K276,RED METALLIC,"3,147","489,750.00"
1333,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NIF1172,Y1J250,RED METALLIC,"15,028","450,800.00"
1334,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT,NEE1877,Y0Z898,RED METALLIC,"12,538","561,000.00"
"",,,,,,TITANIUM GRAY,,
1335,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NIL4262,Y2I764,,"24,207","581,400.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1336,AXIS TOWER,2022,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NID8372,B9I643,,"38,628","399,000.00"
"",,,,,,METALLIC,,
1337,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,,Y3M674,RED METALLIC,"5,905","593,100.00"
"",,,,,,COOL SILVER,,
1338,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NHL1730,Y3E171,,"197,952","492,000.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1339,ENTRATA,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,,Y4L843,,"3,450","662,150.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1340,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NIN2489,,,"13,295","620,350.00"
"",,,,,,METALLIC,,
1341,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NIG8611,Y1L223,TITANIUM GRAY,"16,824","456,400.00"
"",,,,,,COOL SILVRE,,
1342,MARCELO GREEN,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,,Y1K537,,"1,244","494,250.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1343,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,,Y3U051,,"2,162","649,000.00"
"",,,,,,METALLIC,,
